Gene symbol	Gene name	Accession DB	Accession ID
29T	"DNA segment, 29T"		27470
2B9	"DNA segment, 2b9"		52979
2C4D6HYACC	"DNA segment, 2c4d6HYACC"		53157
2C8B2-1092	"DNA segment, 2c8b2-1092"		53161
2E	"DNA segment, 2E"		52936
301L2SP6	"DNA segment, 301l12Sp6"		56590
303E12F	"DNA segment, 303E12F (Research Genetics)"		27805
303E12R	"DNA segment, 303E12R (Research Genetics)"		27807
304D23F	"DNA segment, 304D23F (Research Genetics)"		27812
304D23R	"DNA segment, 304D23R (Research Genetics)"		27811
30B5.T7	"DNA segment, 30B5.T7 (Roswell Park)"		27698
30.MMHAP16FRB12	"DNA segment, 30.MMHAP16FRB12"		117568
31.MMHAP38FLC4	"DNA segment, 31.MMHAP38FLC4"		84568
31.MMHAP64FLC4	"DNA segment, 31.MMHAP64FLC4"		110443
332I15.SP6	"DNA segment, 332I15.Sp6 (Roswell Park)"		53309
332I15.T7	"DNA segment, 332I15.T7 (Roswell Park)"		27768
333P17.R	"DNA segment, 333P17.R"		276713
335F15F	"DNA segment, 335F15F (Research Genetics)"		27827
335F15R	"DNA segment, 335F15R (Research Genetics)"		27828
349F04F	"DNA segment, 349F04F (Research Genetics)"		27818
349F04R	"DNA segment, 349F04R (Research Genetics)"		27820
358A17R	"DNA segment, 358A17R (Research Genetics)"		27810
363K16-SP6	"DNA segment, 363K16-SP6"		79204
363O12-T7	"DNA segment, 363o12-T7"		53151
380N16T7	"DNA segment, 380N16T7 (Roswell Park)"		53301
386N23T7	"DNA segment, 386N23T7 (Roswell Park)"		53303
389D19.R	"DNA segment, 389D19.R"		276714
38B16F	"DNA segment, 38B16F (Research Genetics)"		27772
38B16R	"DNA segment, 38B16R (Research Genetics)"		27773
38.MMHAP67FLE5.SEQ	"DNA segment, 38.MMHAP67FLE5"		53181
38T	"DNA segment, 38T"		27455
391O16F	"DNA segment, 391O16F (Research Genetics)"		27815
391O16R	"DNA segment, 391O16R (Research Genetics)"		27819
3A4	"DNA segment, 3a4"		52978
3B1	"DNA segment, 3B1 Research Genetics"		53230
3B11	"DNA segment, 3b11"		52996
3F1	"DNA segment, 3f1"		52981
3P18S	"DNA segment, 3P18S"		27498
3P18T	"DNA segment, 3P18T"		27497
3S	"DNA segment, 3S"		27463
3T	"DNA segment, 3T"		27464
401E9SP6	"DNA segment, 401e9Sp6"		53141
40.MMHAP76FLF4	"DNA segment, 40.MMHAP76FLF4"		117567
410O9T7	"DNA segment, 410O9T7 (Roswell Park)"		53294
412I12	"DNA segment, 412I12 Research Genetics"		53304
41D19	"DNA segment, 41D19 Research Genetics"		53297
42F4-T7	"DNA segment, 42F4-T7"		53084
42J20F	"DNA segment, 42J20F (Research Genetics)"		27771
42J20R	"DNA segment, 42J20R (Research Genetics)"		27770
42S	"DNA segment, 42S"		27478
42T	"DNA segment, 42T"		27466
433B7T7	"DNA segment, 433B7T7 (Roswell Park)"		53293
43F9SP6	"DNA segment, 43f9Sp6"		56577
446O7T7	"DNA segment, 446o7T7"		56576
44.MHAA42H8.SEQ	"DNA segment, 44.MHAa42h8.seq"		53224
44S	"DNA segment, 44S"		27456
45K20	"DNA segment, 45K20"		53001
45S	"DNA segment, 45S"		27468
463O20SP6	"DNA segment, 463o20Sp6"		56601
469O12.R	"DNA segment, 469O12.R"		276715
46O1-T7	"DNA segment, 46O1-T7"		53088
475D1T7	"DNA segment, 471D1T7 (Roswell Park)"		53291
4831410D14	uncharacterized protein 4831410D14		327901
48T	"DNA segment, 48T"		27473
4930579K21	uncharacterized protein 4930579K21		212241
4932407I05	uncharacterized protein 4932407I05		224662
502H20F	"DNA segment, 502H20F (Research Genetics)"		27804
502H20R	"DNA segment, 502H20R (Research Genetics)"		27806
504N12F	"DNA segment, 504N12F (Research Genetics)"		27824
504N12R	"DNA segment, 504N12R (Research Genetics)"		27821
51S	"DNA segment, 51S"		27472
51T	"DNA segment, 51T"		27474
524K7T7	"DNA segment, 524K7T7 (Roswell Park)"		53290
52A6L	"DNA segment, 52A6L"		56565
52S	"DNA segment, 52S"		27483
52T	"DNA segment, 52T"		27482
538C3T7	"DNA segment, 538C3T7 (Roswell Park)"		53292
53S	"DNA segment, 53S"		27452
53T	"DNA segment, 53T"		27454
55D13	"DNA segment, 55D13 Research Genetics"		53298
561O14T7	"DNA segment, 561O14T7 (Roswell Park)"		53302
565I03F	"DNA segment, 565I03F (Research Genetics)"		27822
565I03R	"DNA segment, 565I03R (Research Genetics)"		27809
565M12F	"DNA segment, 56M12F (Research Genetics)"		27789
567C18F	"DNA segment, 567C18F (Research Genetics)"		27825
56G1SP6	"DNA segment, 56G1Sp6"		53094
56S	"DNA segment, 56S"		27459
56T	"DNA segment, 56T"		27484
573K1S	"DNA segment, 573K1S"		27505
573K1T	"DNA segment, 573K1T"		27506
579J12SP6	"DNA segment, 579J12Sp6"		53149
57K16F	"DNA segment, 57K16F (Research Genetics)"		27779
57K16R	"DNA segment, 57K16R (Research Genetics)"		27781
59K2-SP6	"DNA segment, 59K2-Sp6"		53138
59K2-T7	"DNA segment, 59K2-T7"		53100
5N7-T7	"DNA segment, 5n7-T7"		53060
5SP6	"DNA segment, 5Sp6 (Research Genetics)"		53299
612L16SP6	"DNA segment, 612l16Sp6"		53145
630D9T7	"DNA segment, 630D9T7 (Roswell Park)"		53289
63G5L	"DNA segment, 63G5L"		27461
63N19-T7	"DNA segment, 63N19-T7"		53140
645M6T7	"DNA segment, 645M6T7 (Roswell Park)"		53295
65M5F9R	"DNA segment, 65M5F9R"		56571
66M4E12R	"DNA segment, 66M4E12R"		56581
6C13F9-1092	"DNA segment, 6c13f9-1092"		53168
6D12H11-1092	"DNA segment, 6d12h11-1092"		53170
78A11L	"DNA segment, 78A11L"		27467
78A11R	"DNA segment, 78A11R"		27481
87M6F7R	"DNA segment, 87M6F7R"		56572
8K10T7	"DNA segment, 8k10T7"		56566
8L	"DNA segment, 8L"		52935
8S	"DNA segment, 8S"		27465
8T	"DNA segment, 8T"		27449
90K2-T7	"DNA segment, 90k2-T7"		53097
917M			100035663
91E7R	"DNA segment, 91E7R"		53031
91G12L	"DNA segment, 91G12L"		27480
92N10F	"DNA segment, 92N10F (Research Genetics)"		27782
92N10R	"DNA segment, 92N10R (Research Genetics)"		27780
9330210C06	uncharacterized protein 9330210C06		329759
94B16F	"DNA segment, 94B16F (Research Genetics)"		27774
94B16R	"DNA segment, 94B16R (Research Genetics)"		27776
9930111J21RIK1	RIKEN cDNA 9930111J21 gene 1		667214
9930111J21RIK2	RIKEN cDNA 9930111J21 gene 2		245240
A	nonagouti		50518
A007110	"DNA segment, A007110"		53117
A130012F09	uncharacterized A130012F09		223869
A1BG	alpha-1-B glycoprotein		1
A1CF	APOBEC1 complementation factor		29974
A26C2	"ANKRD26-like family C, member 2"		622251
A26C3	"ANKRD26-like family C, member 3"		67575
A2M	alpha-2-macroglobulin		2
A2ML1	alpha-2-macroglobulin like 1		144568
A330087I24	uncharacterized protein A330087I24		327857
A3GALT2	"alpha 1,3-galactosyltransferase 2"		127550
A430057O09	uncharacterized protein A430057O09		330132
A4GALT	"alpha 1,4-galactosyltransferase (P blood group)"		53947
A4GNT	"alpha-1,4-N-acetylglucosaminyltransferase"		51146
A630076J08	uncharacterized protein A630076J08		329696
A830011I04	uncharacterized protein A830011I04		330150
AAAS	aladin WD repeat nucleoporin		8086
AABPR	aberrant activation of B cell proliferation		100036240
AACS	acetoacetyl-CoA synthetase		65985
AADAC	arylacetamide deacetylase		13
AADACL2	arylacetamide deacetylase like 2		344752
AADACL2FM1	AADACL2 family member 1		229333
AADACL2FM2	AADACL2 family member 2		433597
AADACL2FM3	AADACL2 family member 3		666803
AADACL3	arylacetamide deacetylase like 3		126767
AADACL4	arylacetamide deacetylase like 4		343066
AADACL4FM1	AADACL4 family member 1		381572
AADACL4FM2	AADACL4 family member 2		627085
AADACL4FM3	AADACL4 family member 3		546849
AADACL4FM4	AADACL4 family member 4		230890
AADACL4FM5	AADACL4 family member 5		329993
AADAT	aminoadipate aminotransferase		51166
AAED1	AhpC/TSA antioxidant enzyme domain containing 1		427472
AAGAB	alpha and gamma adaptin binding protein		79719
AAIQ1	aromatase activity QTL 1		112131
AAIQ2	aromatase activity QTL 2		112132
AAIQ3	aromatase activity QTL 3		109413
AAIQ4	aromatase activity QTL 4		109414
AAJ1	anxiety in A/J 1		100035127
AAJ2	anxiety in A/J 2		100035618
AAJ3	anxiety in A/J 3		100035128
AAJ4	anxiety in A/J 4		100035619
AAK1	AP2 associated kinase 1		22848
AAL	active avoidance learning		104236
AAMDC	adipogenesis associated Mth938 domain containing		28971
AAMP	angio associated migratory cell protein		14
AANAT	aralkylamine N-acetyltransferase		15
AAOM1	autoimmune aoritis in MRL mice 1		100035762
AAP	active avoidance performance		107417
AAQ1	alcohol acceptance QTL 1		112133
AAQ2	"alcohol acceptance QTL 2, female specific"		116538
AAR2	AAR2 splicing factor		25980
AARD	alanine and arginine rich domain containing protein		441376
AARS	alanyl-tRNA synthetase		234734
AARS2	"alanyl-tRNA synthetase 2, mitochondrial"		57505
AARSD1	alanyl-tRNA synthetase domain containing 1		80755
AASDH	aminoadipate-semialdehyde dehydrogenase		132949
AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase		60496
AASS	aminoadipate-semialdehyde synthase		10157
AATF	apoptosis antagonizing transcription factor		26574
AATK	apoptosis associated tyrosine kinase		9625
AB010352	cDNA sequence AB010352		105246961
AB039971	expressed sequence AB039971		98844
AB039976	expressed sequence AB039976		100562
AB039980	expressed sequence AB039980		105452
AB041806	"hypothetical protein, MNCb-2457"		58213
AB059417	expressed sequence AB059417		101057
AB124611	cDNA sequence AB124611		382062
AB193402	expressed sequence AB193402		574401
ABAT	4-aminobutyrate aminotransferase		18
ABBP1	A/J and C57BL/6 blood pressure 1		100035767
ABBP2	A/J and C57BL/6 blood pressure 2		100034879
ABBP3	A/J and C57BL/6 blood pressure 3		100036061
ABBP4	A/J and C57BL/6 blood pressure 4		493093
ABCA1	ATP binding cassette subfamily A member 1		19
ABCA12	ATP binding cassette subfamily A member 12		26154
ABCA13	ATP binding cassette subfamily A member 13		154664
ABCA14	"ATP-binding cassette, sub-family A (ABC1), member 14"		67928
ABCA15	"ATP-binding cassette, sub-family A (ABC1), member 15"		320631
ABCA16	"ATP-binding cassette, sub-family A (ABC1), member 16"		233810
ABCA17	"ATP-binding cassette, sub-family A (ABC1), member 17"		381072
ABCA2	ATP binding cassette subfamily A member 2		20
ABCA3	ATP binding cassette subfamily A member 3		21
ABCA4	ATP binding cassette subfamily A member 4		24
ABCA5	ATP binding cassette subfamily A member 5		23461
ABCA6	ATP binding cassette subfamily A member 6		23460
ABCA7	ATP binding cassette subfamily A member 7		10347
ABCA8	ATP binding cassette subfamily A member 8		10351
ABCA8A	"ATP-binding cassette, sub-family A (ABC1), member 8a"		217258
ABCA8B	"ATP-binding cassette, sub-family A (ABC1), member 8b"		27404
ABCA9	ATP binding cassette subfamily A member 9		10350
ABCB1	ATP binding cassette subfamily B member 1		5243
ABCB10	ATP binding cassette subfamily B member 10		23456
ABCB11	ATP binding cassette subfamily B member 11		8647
ABCB1A	"ATP-binding cassette, sub-family B (MDR/TAP), member 1A"		18671
ABCB1B	"ATP-binding cassette, sub-family B (MDR/TAP), member 1B"		18669
ABCB4	ATP binding cassette subfamily B member 4		5244
ABCB5	ATP binding cassette subfamily B member 5		340273
ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)		10058
ABCB7	ATP binding cassette subfamily B member 7		22
ABCB8	ATP binding cassette subfamily B member 8		11194
ABCB9	ATP binding cassette subfamily B member 9		23457
ABCC1	ATP binding cassette subfamily C member 1		4363
ABCC10	ATP binding cassette subfamily C member 10		89845
ABCC12	ATP binding cassette subfamily C member 12		94160
ABCC2	ATP binding cassette subfamily C member 2		1244
ABCC3	ATP binding cassette subfamily C member 3		8714
ABCC4	ATP binding cassette subfamily C member 4		10257
ABCC5	ATP binding cassette subfamily C member 5		10057
ABCC6	ATP binding cassette subfamily C member 6		368
ABCC8	ATP binding cassette subfamily C member 8		6833
ABCC9	ATP binding cassette subfamily C member 9		10060
ABCD1	ATP binding cassette subfamily D member 1		215
ABCD2	ATP binding cassette subfamily D member 2		225
ABCD3	ATP binding cassette subfamily D member 3		5825
ABCD4	ATP binding cassette subfamily D member 4		5826
ABCE1	ATP binding cassette subfamily E member 1		6059
ABCF1	ATP binding cassette subfamily F member 1		23
ABCF2	ATP binding cassette subfamily F member 2		10061
ABCF3	ATP binding cassette subfamily F member 3		55324
ABCG1	ATP binding cassette subfamily G member 1		9619
ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)		9429
ABCG3	ATP binding cassette subfamily G member 3		27405
ABCG4	ATP binding cassette subfamily G member 4		64137
ABCG5	ATP binding cassette subfamily G member 5		64240
ABCG8	ATP binding cassette subfamily G member 8		64241
ABD1	autoimmune biliary disease 1		100125755
ABFM1	abdominal fat mass 1		100035470
ABFM2	abdominal fat mass 2		100036022
ABFP1	abdominal fat percentage 1		100036162
ABFP2	abdominal fat percentage 2		100035222
ABFP3	abdominal fat percentage 3		100036329
ABFP4	abdominal fat percentage 4		100035916
ABFP5	abdominal fat percentage 5		100035223
ABFW1	abdominal fat weight 1		100035917
ABFW2	abdominal fat weight 2		100035224
ABFW3	abdominal fat weight 3		100035645
ABFW4	abdominal fat weight 4		100035225
ABFW5	abdominal fat weight 5		100036192
ABFW6	abdominal fat weight 6		100036330
ABHD1	abhydrolase domain containing 1		84696
ABHD10	"abhydrolase domain containing 10, depalmitoylase"		55347
ABHD11	abhydrolase domain containing 11		83451
ABHD11OS	"abhydrolase domain containing 11, opposite strand"		69812
ABHD12	"abhydrolase domain containing 12, lysophospholipase"		26090
ABHD12B	abhydrolase domain containing 12B		145447
ABHD13	abhydrolase domain containing 13		84945
ABHD14A	abhydrolase domain containing 14A		25864
ABHD14B	abhydrolase domain containing 14B		84836
ABHD15	abhydrolase domain containing 15		116236
ABHD16A	"abhydrolase domain containing 16A, phospholipase"		7920
ABHD16B	abhydrolase domain containing 16B		140701
ABHD17A	"abhydrolase domain containing 17A, depalmitoylase"		81926
ABHD17B	"abhydrolase domain containing 17B, depalmitoylase"		51104
ABHD17C	"abhydrolase domain containing 17C, depalmitoylase"		58489
ABHD18	abhydrolase domain containing 18		80167
ABHD2	"abhydrolase domain containing 2, acylglycerol lipase"		11057
ABHD3	"abhydrolase domain containing 3, phospholipase"		171586
ABHD4	"abhydrolase domain containing 4, N-acyl phospholipase B"		63874
ABHD5	"abhydrolase domain containing 5, lysophosphatidic acid acyltransferase"		51099
ABHD6	"abhydrolase domain containing 6, acylglycerol lipase"		57406
ABHD8	abhydrolase domain containing 8		79575
ABHR1	antigen-induced bronchial hyperresponsiveness 1		109520
ABHR2	antigen-induced bronchial hyperresponsiveness 2		109521
ABHR3	allergen-induced bronchial hyperresponsiveness 3		114085
ABI1	abl interactor 1		10006
ABI2	abl interactor 2		10152
ABI3	ABI family member 3		51225
ABI3BP	ABI family member 3 binding protein		25890
ABITRAM	actin binding transcription modulator		54942
ABL1	"ABL proto-oncogene 1, non-receptor tyrosine kinase"		25
ABL2	"ABL proto-oncogene 2, non-receptor tyrosine kinase"		27
ABLIM1	actin binding LIM protein 1		3983
ABLIM2	actin binding LIM protein family member 2		84448
ABLIM3	actin binding LIM protein family member 3		22885
ABLP	absorbance of eye lens protein		100035026
ABMM	antibody mediated myocarditis		114645
ABO	"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase"		28
ABP1	Actin binding protein 1		39520
ABR	ABR activator of RhoGEF and GTPase		29
ABRA	actin binding Rho activating protein		137735
ABRACL	ABRA C-terminal like		58527
ABRAXAS1	"abraxas 1, BRCA1 A complex subunit"		84142
ABRAXAS2	"abraxas 2, BRISC complex subunit"		23172
ABT1	activator of basal transcription 1		29777
ABTB1	ankyrin repeat and BTB domain containing 1		80325
ABTB2	ankyrin repeat and BTB domain containing 2		25841
AC	absent corpus callosum		11358
ACAA1	acetyl-CoA acyltransferase 1		30
ACAA1A	acetyl-Coenzyme A acyltransferase 1A		113868
ACAA1B	acetyl-Coenzyme A acyltransferase 1B		235674
ACAA2	acetyl-CoA acyltransferase 2		10449
ACACA	acetyl-CoA carboxylase alpha		31
ACACB	acetyl-CoA carboxylase beta		32
ACAD10	acyl-CoA dehydrogenase family member 10		80724
ACAD11	acyl-CoA dehydrogenase family member 11		84129
ACAD12	"acyl-Coenzyme A dehydrogenase family, member 12"		338350
ACAD8	acyl-CoA dehydrogenase family member 8		27034
ACAD9	acyl-CoA dehydrogenase family member 9		28976
ACADL	acyl-CoA dehydrogenase long chain		33
ACADM	acyl-CoA dehydrogenase medium chain		34
ACADM-PS1	"acyl-Coenzyme A dehydrogenase, medium chain, pseudogene 1"		111268
ACADM-PS2	"acyl-Coenzyme A dehydrogenase, medium chain, pseudogene 2"		111267
ACADS	acyl-CoA dehydrogenase short chain		35
ACADSB	acyl-CoA dehydrogenase short/branched chain		36
ACADVL	acyl-CoA dehydrogenase very long chain		37
ACADVL-RS1	"acyl-Coenzyme A dehydrogenase, long chain, related sequence 1"		110901
ACAN	aggrecan		176
ACAP1	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1"		9744
ACAP2	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2"		23527
ACAP3	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3"		116983
ACAT1	acetyl-CoA acetyltransferase 1		38
ACAT2	acetyl-CoA acetyltransferase 2		39
ACAT3	acetyl-Coenzyme A acetyltransferase 3		224530
ACBD3	acyl-CoA binding domain containing 3		64746
ACBD4	acyl-CoA binding domain containing 4		79777
ACBD5	acyl-CoA binding domain containing 5		91452
ACBD6	acyl-CoA binding domain containing 6		84320
ACBD7	acyl-CoA binding domain containing 7		414149
ACC	anterior capsular cataract		104371
ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)		84680
ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like		390110
ACD	ACD shelterin complex subunit and telomerase recruitment factor		65057
ACE	angiotensin I converting enzyme		1636
ACE2	angiotensin I converting enzyme 2		59272
ACE3	angiotensin I converting enzyme (peptidyl-dipeptidase A) 3		217246
ACER1	alkaline ceramidase 1		125981
ACER2	alkaline ceramidase 2		340485
ACER3	alkaline ceramidase 3		55331
ACF1	albumin conformation factor 1		110112
ACHE	acetylcholinesterase (Cartwright blood group)		43
ACIN1	apoptotic chromatin condensation inducer 1		22985
ACK	anti-Corynebacterium kutscheri		107482
ACKR1	atypical chemokine receptor 1 (Duffy blood group)		2532
ACKR2	atypical chemokine receptor 2		1238
ACKR3	atypical chemokine receptor 3		57007
ACKR4	atypical chemokine receptor 4		51554
ACLA1	anticardiolipin antibody 1		100035951
ACLA2	anticardiolipin antibody 2		100035309
ACLY	ATP citrate lyase		47
ACMSD	aminocarboxymuconate semialdehyde decarboxylase		130013
ACN9	ACN9 homolog		100168165
ACNAT1	acyl-coenzyme A amino acid N-acyltransferase 1		230161
ACNAT2	acyl-coenzyme A amino acid N-acyltransferase 2		209186
ACO1	aconitase 1		48
ACO2	aconitase 2		50
ACOD1	aconitate decarboxylase 1		730249
ACOT1	acyl-CoA thioesterase 1		641371
ACOT10	acyl-CoA thioesterase 10		64833
ACOT11	acyl-CoA thioesterase 11		26027
ACOT12	acyl-CoA thioesterase 12		134526
ACOT13	acyl-CoA thioesterase 13		55856
ACOT2	acyl-CoA thioesterase 2		10965
ACOT3	acyl-CoA thioesterase 3		171281
ACOT4	acyl-CoA thioesterase 4		122970
ACOT5	acyl-CoA thioesterase 5		217698
ACOT6	acyl-CoA thioesterase 6		641372
ACOT7	acyl-CoA thioesterase 7		11332
ACOT8	acyl-CoA thioesterase 8		10005
ACOT9	acyl-CoA thioesterase 9		23597
ACOX1	acyl-CoA oxidase 1		51
ACOX2	acyl-CoA oxidase 2		8309
ACOX3	"acyl-CoA oxidase 3, pristanoyl"		8310
ACOXL	acyl-CoA oxidase like		55289
ACP1	acid phosphatase 1		52
ACP2	"acid phosphatase 2, lysosomal"		53
ACP4	acid phosphatase 4		93650
ACP5	"acid phosphatase 5, tartrate resistant"		54
ACP5B	"acid phosphatase 5b, tartrate resistant"		436725
ACP6	"acid phosphatase 6, lysophosphatidic"		51205
ACP7	"acid phosphatase 7, tartrate resistant (putative)"		390928
ACPL2	acid phosphatase-like 2		100194960
ACPP	"acid phosphatase, prostate"		56318
ACR	acrosin		49
ACRBP	acrosin binding protein		84519
ACRV1	acrosomal vesicle protein 1		56
ACSBG1	acyl-CoA synthetase bubblegum family member 1		23205
ACSBG2	acyl-CoA synthetase bubblegum family member 2		81616
ACSBG3	acyl-CoA synthetase bubblegum family member 3		78625
ACSF2	acyl-CoA synthetase family member 2		80221
ACSF3	acyl-CoA synthetase family member 3		197322
ACSL1	acyl-CoA synthetase long chain family member 1		2180
ACSL3	acyl-CoA synthetase long chain family member 3		2181
ACSL4	acyl-CoA synthetase long chain family member 4		2182
ACSL5	acyl-CoA synthetase long chain family member 5		51703
ACSL6	acyl-CoA synthetase long chain family member 6		23305
ACSM1	acyl-CoA synthetase medium chain family member 1		116285
ACSM2	acyl-CoA synthetase medium-chain family member 2		233799
ACSM2A	acyl-CoA synthetase medium chain family member 2A		123876
ACSM3	acyl-CoA synthetase medium chain family member 3		6296
ACSM4	acyl-CoA synthetase medium chain family member 4		341392
ACSM5	acyl-CoA synthetase medium chain family member 5		54988
ACSNS1	Angiostrongylus costaricensis nematode susceptibility 1		260419
ACSNS2	Angiostrongylus costaricensis nematode susceptibility 2		492868
ACSNS3	Angiostrongylus costaricensis nematode susceptibility 3		492869
ACSS1	acyl-CoA synthetase short chain family member 1		84532
ACSS2	acyl-CoA synthetase short chain family member 2		55902
ACSS2OS	"acyl-CoA synthetase short-chain family member 2, opposite strand"		74945
ACSS3	acyl-CoA synthetase short chain family member 3		79611
ACT	adult cataract		11452
ACT1	actin related gene 1		109776
